,Tensión,Tensión Corriente
334,0.15930758,4.7325e-05
335,0.16298823,4.5072e-05
336,0.16593574,4.2075e-05
337,0.16878775,4.2924e-05
338,0.17232934,4.285e-05
339,0.17565165,4.8897e-05
340,0.17824239,4.9505e-05
341,0.181791,4.7556e-05
342,0.18468591,4.3584e-05
343,0.18799374,4.2892e-05
344,0.19113367,4.4035e-05
345,0.19424171,4.5009e-05
346,0.19710339,4.6434e-05
347,0.20072605,4.6487e-05
348,0.20326367,4.3794e-05
349,0.2061215,4.3542e-05
350,0.21010946,4.3175e-05
351,0.21285395,4.4538e-05
352,0.21622866,4.3018e-05
353,0.21977285,4.5051e-05
354,0.22274531,4.3898e-05
355,0.22526408,4.4087e-05
356,0.22892046,4.4894e-05
357,0.23164194,4.3773e-05
358,0.23469154,4.175e-05
359,0.23867042,4.3448e-05
360,0.24231703,4.3448e-05
361,0.2448186,4.3521e-05
362,0.24801185,4.4611e-05
363,0.25084135,4.196e-05
364,0.25387974,4.4506e-05
365,0.25718226,4.4118e-05
366,0.26030936,4.3993e-05
367,0.26343597,4.5166e-05
368,0.26688286,4.5041e-05
369,0.26956132,4.1698e-05
370,0.27222987,4.0597e-05
371,0.27659338,4.1069e-05
372,0.27959767,4.0576e-05
373,0.28179758,4.1142e-05
374,0.2854022,4.3018e-05
375,0.28827909,4.219e-05
376,0.29149089,4.459e-05
377,0.29543314,4.3217e-05
378,0.29820597,4.1299e-05
379,0.30095077,4.2651e-05
380,0.3041202,4.1226e-05
381,0.30782626,3.912e-05
382,0.31089503,4.0576e-05
383,0.31374755,4.218e-05
384,0.31773134,4.1457e-05
385,0.32014448,4.3458e-05
386,0.32312659,4.3353e-05
387,0.32647581,4.3563e-05
388,0.32945541,4.1121e-05
389,0.33291116,4.065e-05
390,0.3359585,4.0671e-05
391,0.33927394,4.1184e-05
392,0.34193448,4.066e-05
393,0.34559867,4.1813e-05
394,0.3483735,4.2043e-05
395,0.35119518,4.1624e-05
396,0.35500093,4.0597e-05
397,0.35765579,4.1519e-05
398,0.36069768,4.2148e-05
399,0.3636251,4.132e-05
400,0.36762203,4.2064e-05
401,0.37078871,3.9424e-05
402,0.37388384,3.9004e-05
403,0.37742552,3.7726e-05
404,0.37946755,4.2002e-05
405,0.38262892,4.306e-05
406,0.38616415,4.3427e-05
407,0.38908661,3.8627e-05
408,0.39313164,3.7338e-05
409,0.39589186,3.7527e-05
410,0.3984966,3.7831e-05
411,0.40113036,4.0828e-05
412,0.40479893,4.2546e-05
413,0.40814936,4.0052e-05
414,0.41172233,3.8942e-05
415,0.41475121,3.6353e-05
416,0.41726508,3.7663e-05
